nama_ptn,akronim,nama_prodi,jenjang,nilai_rata_rata
UNIVERSITAS GADJAH MADA,UGM,TEKNIK SUMBER DAYA AIR,S1,86.13
UNIVERSITAS GADJAH MADA,UGM,ILMU TANAH,S1,86.1
UNIVERSITAS GADJAH MADA,UGM,FISIKA,S1,85.95
UNIVERSITAS GADJAH MADA,UGM,MIKROBIOLOGI PERTANIAN,S1,85.93
UNIVERSITAS GADJAH MADA,UGM,PROTEKSI TANAMAN (ILMU HAMA DAN PENYAKIT TUMBUHAN),S1,85.74
UNIVERSITAS GADJAH MADA,UGM,AKUAKULTUR (BUDIDAYA PERIKANAN),S1,85.7
UNIVERSITAS GADJAH MADA,UGM,"BAHASA, SASTRA, DAN BUDAYA JAWA",S1,85.47
UNIVERSITAS GADJAH MADA,UGM,MANAJEMEN SUMBERDAYA AKUATIK (MANAJEMEN SUMBER DAYA PERIKANAN),S1,85.37
UNIVERSITAS GADJAH MADA,UGM,BAHASA DAN SASTRA PRANCIS,S1,85.31
UNIVERSITAS GADJAH MADA,UGM,TEKNOLOGI HASIL PERIKANAN,S1,85.25
UNIVERSITAS GADJAH MADA,UGM,PENYULUHAN DAN KOMUNIKASI PERTANIAN,S1,85.21
UNIVERSITAS HALUOLEO,UHO,TEKNIK MESIN,D3,83.89
UNIVERSITAS HALUOLEO,UHO,TEKNIK SIPIL,D3,83.19
UNIVERSITAS HALUOLEO,UHO,TEKNIK ARSITEKTUR,D3,82.65
UNIVERSITAS HALUOLEO,UHO,TEKNIK ELEKTRONIKA,D3,81.1
UNIVERSITAS HALUOLEO,UHO,STATISTIKA,D3,80.94
UNIVERSITAS HALUOLEO,UHO,PENDIDIKAN DOKTER,S1,91.84
UNIVERSITAS HALUOLEO,UHO,MANAJEMEN,S1,89.0
UNIVERSITAS HALUOLEO,UHO,PEND. GURU SEKOLAH DASAR (PGSD) S1,S1,88.96
UNIVERSITAS HALUOLEO,UHO,FARMASI,S1,88.76
UNIVERSITAS HALUOLEO,UHO,TEKNIK INFORMATIKA,S1,88.67
UNIVERSITAS HALUOLEO,UHO,ILMU KESEHATAN MASYARAKAT,S1,88.64
UNIVERSITAS HALUOLEO,UHO,AKUTANSI,S1,88.38
UNIVERSITAS HALUOLEO,UHO,TEKNIK PERTAMBANGAN,S1,88.33
UNIVERSITAS HALUOLEO,UHO,ILMU HUKUM,S1,88.31
UNIVERSITAS HALUOLEO,UHO,ILMU KOMPUTER,S1,88.24
UNIVERSITAS HALUOLEO,UHO,PENDIDIKAN BIMBINGAN DAN KONSELING,S1,88.23
UNIVERSITAS HALUOLEO,UHO,ADMINISTRASI BISNIS,S1,88.22
UNIVERSITAS HALUOLEO,UHO,KEPERAWATAN,S1,88.02
UNIVERSITAS HALUOLEO,UHO,ILMU KOMUNIKASI,S1,87.96
UNIVERSITAS HALUOLEO,UHO,PSIKOLOGI,S1,87.89
UNIVERSITAS HALUOLEO,UHO,GIZI,S1,87.77
UNIVERSITAS HALUOLEO,UHO,"PEND. BAHASA, SASTRA INDO. & DAERAH",S1,87.63
UNIVERSITAS HALUOLEO,UHO,PENDIDIKAN MATEMATIKA,S1,87.54
UNIVERSITAS HALUOLEO,UHO,"PEND. JASMANI, KESEHATAN DAN REKREASI",S1,87.47
UNIVERSITAS HALUOLEO,UHO,PENDIDIKAN BAHASA INGGRIS,S1,87.33
UNIVERSITAS HALUOLEO,UHO,TEKNIK GEOLOGI,S1,87.07
UNIVERSITAS HALUOLEO,UHO,ILMU ADMINISTRASI NEGARA,S1,86.96
UNIVERSITAS HALUOLEO,UHO,PEND. PANCASILA & KEWARGANEGARAAN,S1,86.91
UNIVERSITAS HALUOLEO,UHO,EKONOMI PEMBANGUNAN,S1,86.66
UNIVERSITAS HALUOLEO,UHO,PENDIDIKAN ANAK USIA DINI (PG-PAUD),S1,86.51
UNIVERSITAS HALUOLEO,UHO,PENDIDIKAN GEOGRAFI,S1,86.45
UNIVERSITAS HALUOLEO,UHO,PENDIDIKAN BIOLOGI,S1,86.16
UNIVERSITAS HALUOLEO,UHO,SASTRA INGGRIS,S1,85.95
UNIVERSITAS HALUOLEO,UHO,PENDIDIKAN SEJARAH,S1,85.94
UNIVERSITAS HALUOLEO,UHO,PENDIDIKAN EKONOMI,S1,85.63
UNIVERSITAS HALUOLEO,UHO,ILMU KEOLAHRAGAAN,S1,85.61
UNIVERSITAS HALUOLEO,UHO,TEKNIK ELEKTRO,S1,85.59
UNIVERSITAS HALUOLEO,UHO,SOSIOLOGI,S1,85.51
UNIVERSITAS HALUOLEO,UHO,PENDIDIKAN FISIKA,S1,85.44
UNIVERSITAS HALUOLEO,UHO,ILMU PEMERINTAHAN,S1,85.38
UNIVERSITAS HALUOLEO,UHO,PERPUSTAKAAN DAN ILMU INFORMASI,S1,85.37
UNIVERSITAS HALUOLEO,UHO,PENDIDIKAN AKUNTANSI,S1,85.29
UNIVERSITAS HALUOLEO,UHO,AGRIBISNIS,S1,85.15
UNIVERSITAS HALUOLEO,UHO,ILMU POLITIK,S1,85.08
UNIVERSITAS HALUOLEO,UHO,PENDIDIKAN KIMIA,S1,84.79
UNIVERSITAS HALUOLEO,UHO,BIOLOGI,S1,84.73
UNIVERSITAS HALUOLEO,UHO,KIMIA,S1,84.71
UNIVERSITAS HALUOLEO,UHO,SASTRA INDONESIA,S1,84.59
UNIVERSITAS HALUOLEO,UHO,JURNALISTIK,S1,84.49
UNIVERSITAS HALUOLEO,UHO,GEOGRAFI,S1,84.48
UNIVERSITAS HALUOLEO,UHO,MATEMATIKA,S1,84.44
UNIVERSITAS HALUOLEO,UHO,KEHUTANAN,S1,84.4
UNIVERSITAS HALUOLEO,UHO,PENYULUHAN PERTANIAN,S1,84.23
UNIVERSITAS HALUOLEO,UHO,BIOTEKNOLOGI,S1,83.99
UNIVERSITAS HALUOLEO,UHO,AGROTEKNOLOGI / AGROEKOTEKNOLOGI,S1,83.98
UNIVERSITAS HALUOLEO,UHO,PETERNAKAN,S1,83.8
UNIVERSITAS HALUOLEO,UHO,ILMU SEJARAH,S1,83.11
UNIVERSITAS HALUOLEO,UHO,ILMU KESEJAHTERAAN SOSIAL,S1,83.06
UNIVERSITAS HALUOLEO,UHO,REKAYASA INFRASTRUKTUR DAN LINGKUNGAN,S1,83.0
UNIVERSITAS HALUOLEO,UHO,ILMU KELAUTAN,S1,82.98
UNIVERSITAS HALUOLEO,UHO,ANTROPOLOGI SOSIAL,S1,82.95
UNIVERSITAS HALUOLEO,UHO,ILMU DAN TEKNOLOGI PANGAN,S1,82.69
UNIVERSITAS HALUOLEO,UHO,ILMU TANAH,S1,82.49
UNIVERSITAS HALUOLEO,UHO,TEKNIK GEOFISIKA,S1,82.28
UNIVERSITAS HALUOLEO,UHO,ILMU LINGKUNGAN,S1,82.04
UNIVERSITAS HALUOLEO,UHO,FISIKA,S1,81.72
UNIVERSITAS HALUOLEO,UHO,TEKNIK KELAUTAN,S1,81.64
UNIVERSITAS HALUOLEO,UHO,MANAJEMEN SUMBERDAYA PERAIRAN,S1,81.26
UNIVERSITAS HALUOLEO,UHO,PENDIDIKAN VOKASIONAL TEKNIK,S1,81.25
UNIVERSITAS HALUOLEO,UHO,TRADISI LISAN,S1,81.14
UNIVERSITAS HALUOLEO,UHO,AGROBISNIS PERIKANAN,S1,80.75
UNIVERSITAS HALUOLEO,UHO,BUDIDAYA PERAIRAN,S1,80.73
UNIVERSITAS HALUOLEO,UHO,ARKEOLOGI,S1,80.7
UNIVERSITAS HALUOLEO,UHO,OSEANOGRAFI,S1,80.56
UNIVERSITAS HALUOLEO,UHO,TEKNOLOGI HASIL PERIKANAN,S1,80.51
UNIVERSITAS HALUOLEO,UHO,PERIKANAN TANGKAP,S1,80.4
UNIVERSITAS HALUOLEO,UHO,PROTEKSI TANAMAN,S1,80.35
UNIVERSITAS HALUOLEO,UHO,SASTRA PRANCIS,S1,80.29
UNIVERSITAS HASANUDDIN,UNHAS,PENGINDERAAN JAUH DAN SISTEM INFORMASI GEOGRAFIS,D4,88.7
UNIVERSITAS HASANUDDIN,UNHAS,TEKNOLOGI METALURGI EKSTRAKSI,D4,86.49
UNIVERSITAS HASANUDDIN,UNHAS,TERAPI GIGI,D4,83.78
UNIVERSITAS HASANUDDIN,UNHAS,DESTINASI PARIWISATA,D4,81.24
UNIVERSITAS HASANUDDIN,UNHAS,AGRIBISNIS PANGAN,D4,81.23
UNIVERSITAS HASANUDDIN,UNHAS,AGRIBISNIS PETERNAKAN,D4,80.93
UNIVERSITAS HASANUDDIN,UNHAS,TEKNOLOGI PRODUKSI TANAMAN PANGAN,D4,80.86
UNIVERSITAS HASANUDDIN,UNHAS,PARAMEDIK VETERINER,D4,80.56
UNIVERSITAS HASANUDDIN,UNHAS,TEKNOLOGI PRODUKSI TERNAK,D4,80.24
UNIVERSITAS HASANUDDIN,UNHAS,TEKNOLOGI PAKAN TERNAK,D4,80.14
UNIVERSITAS HASANUDDIN,UNHAS,BUDI DAYA LAUT DAN PANTAI,D4,80.07
UNIVERSITAS HASANUDDIN,UNHAS,TEKNOLOGI AKUAKULTUR DAN PASCA PANEN PERIKANAN,D4,80.02
UNIVERSITAS HASANUDDIN,UNHAS,PENDIDIKAN DOKTER,S1,92.7
UNIVERSITAS HASANUDDIN,UNHAS,TEKNIK INFORMATIKA,S1,90.5
UNIVERSITAS HASANUDDIN,UNHAS,PENDIDIKAN DOKTER GIGI,S1,90.02
UNIVERSITAS HASANUDDIN,UNHAS,FARMASI,S1,89.93
UNIVERSITAS HASANUDDIN,UNHAS,MANAJEMEN,S1,89.69
UNIVERSITAS HASANUDDIN,UNHAS,ILMU HUKUM,S1,89.65
UNIVERSITAS HASANUDDIN,UNHAS,KESEHATAN MASYARAKAT,S1,89.62
UNIVERSITAS HASANUDDIN,UNHAS,ILMU KEPERAWATAN,S1,89.38
UNIVERSITAS HASANUDDIN,UNHAS,TEKNIK PERTAMBANGAN,S1,89.13
UNIVERSITAS HASANUDDIN,UNHAS,AKUNTANSI,S1,88.87
UNIVERSITAS HASANUDDIN,UNHAS,PSIKOLOGI,S1,88.76
UNIVERSITAS HASANUDDIN,UNHAS,ILMU KOMUNIKASI,S1,88.68
UNIVERSITAS HASANUDDIN,UNHAS,ILMU GIZI,S1,88.65
UNIVERSITAS HASANUDDIN,UNHAS,TEKNIK SIPIL,S1,88.34
UNIVERSITAS HASANUDDIN,UNHAS,SISTEM INFORMASI,S1,88.33
UNIVERSITAS HASANUDDIN,UNHAS,TEKNIK METALURGI DAN MATERIAL,S1,88.14
UNIVERSITAS HASANUDDIN,UNHAS,ILMU HUBUNGAN INTERNASIONAL,S1,87.82
UNIVERSITAS HASANUDDIN,UNHAS,ADMINISTRASI PUBLIK,S1,87.8
UNIVERSITAS HASANUDDIN,UNHAS,TEKNIK INDUSTRI,S1,87.78
UNIVERSITAS HASANUDDIN,UNHAS,TEKNIK ELEKTRO,S1,87.53
UNIVERSITAS HASANUDDIN,UNHAS,HUKUM ADMINISTRASI NEGARA,S1,87.4
UNIVERSITAS HASANUDDIN,UNHAS,AGRIBISNIS,S1,87.23
UNIVERSITAS HASANUDDIN,UNHAS,KEHUTANAN,S1,87.11
UNIVERSITAS HASANUDDIN,UNHAS,EKONOMI PEMBANGUNAN,S1,86.75
UNIVERSITAS HASANUDDIN,UNHAS,TEKNIK GEOLOGI,S1,86.66
UNIVERSITAS HASANUDDIN,UNHAS,FISOTERAPI,S1,86.56
UNIVERSITAS HASANUDDIN,UNHAS,TEKNIK GEODESI,S1,86.42
UNIVERSITAS HASANUDDIN,UNHAS,TEKNIK MESIN,S1,86.13
UNIVERSITAS HASANUDDIN,UNHAS,TEKNIK ARSITEKTUR,S1,86.06
UNIVERSITAS HASANUDDIN,UNHAS,STATISTIKA,S1,86.05
UNIVERSITAS HASANUDDIN,UNHAS,PARIWISATA,S1,85.92
UNIVERSITAS HASANUDDIN,UNHAS,SASTRA INGGRIS,S1,85.83
UNIVERSITAS HASANUDDIN,UNHAS,TEKNIK LINGKUNGAN,S1,85.64
UNIVERSITAS HASANUDDIN,UNHAS,KEDOKTERAN HEWAN,S1,85.61
UNIVERSITAS HASANUDDIN,UNHAS,ILMU PEMERINTAHAN,S1,85.36
UNIVERSITAS HASANUDDIN,UNHAS,AGROTEKNOLOGI,S1,85.35
UNIVERSITAS HASANUDDIN,UNHAS,PETERNAKAN,S1,85.19
UNIVERSITAS HASANUDDIN,UNHAS,PERENCANAAN WILAYAH DAN KOTA,S1,85.11
UNIVERSITAS HASANUDDIN,UNHAS,ILMU DAN TEKNOLOGI PANGAN,S1,84.92
UNIVERSITAS HASANUDDIN,UNHAS,ILMU AKTUARIA,S1,84.73
UNIVERSITAS HASANUDDIN,UNHAS,TEKNIK PERKAPALAN,S1,84.59
UNIVERSITAS HASANUDDIN,UNHAS,KIMIA,S1,84.55
UNIVERSITAS HASANUDDIN,UNHAS,ILMU POLITIK,S1,84.51
UNIVERSITAS HASANUDDIN,UNHAS,TEKNIK PERTANIAN,S1,84.5
UNIVERSITAS HASANUDDIN,UNHAS,EKONOMI DAN BISNIS ISLAM,S1,84.41
UNIVERSITAS HASANUDDIN,UNHAS,BIOLOGI,S1,84.31
UNIVERSITAS HASANUDDIN,UNHAS,ILMU KELAUTAN,S1,84.22
UNIVERSITAS HASANUDDIN,UNHAS,SOSIOLOGI,S1,84.22
UNIVERSITAS HASANUDDIN,UNHAS,SASTRA INDONESIA,S1,84.07
UNIVERSITAS HASANUDDIN,UNHAS,SASTRA JEPANG,S1,83.8
UNIVERSITAS HASANUDDIN,UNHAS,TEKNIK SISTEM PERKAPALAN,S1,83.74
UNIVERSITAS HASANUDDIN,UNHAS,TEKNIK KELAUTAN,S1,83.56
UNIVERSITAS HASANUDDIN,UNHAS,ANTROPOLOGI,S1,83.55
UNIVERSITAS HASANUDDIN,UNHAS,TEKNOLOGI INDUSTRI PERTANIAN,S1,83.45
UNIVERSITAS HASANUDDIN,UNHAS,MATEMATIKA,S1,83.39
UNIVERSITAS HASANUDDIN,UNHAS,BAHASA MANDARIN DAN KEBUDAYAAN TIONGKOK,S1,83.36
UNIVERSITAS HASANUDDIN,UNHAS,ILMU TANAH,S1,83.32
UNIVERSITAS HASANUDDIN,UNHAS,SASTRA ARAB,S1,83.19
UNIVERSITAS HASANUDDIN,UNHAS,GEOFISIKA,S1,83.14
UNIVERSITAS HASANUDDIN,UNHAS,AGROBISNIS PERIKANAN,S1,83.0
UNIVERSITAS HASANUDDIN,UNHAS,REKAYASA KEHUTANAN,S1,82.94
UNIVERSITAS HASANUDDIN,UNHAS,ILMU SEJARAH,S1,82.93
UNIVERSITAS HASANUDDIN,UNHAS,FISIKA,S1,82.73
UNIVERSITAS HASANUDDIN,UNHAS,ARKEOLOGI,S1,82.59
UNIVERSITAS HASANUDDIN,UNHAS,KONSERVASI HUTAN,S1,82.43
UNIVERSITAS HASANUDDIN,UNHAS,PROTEKSI TANAMAN,S1,82.13
UNIVERSITAS HASANUDDIN,UNHAS,MANAJEMEN SUMBERDAYA PERAIRAN,S1,82.02
UNIVERSITAS HASANUDDIN,UNHAS,BUDIDAYA PERAIRAN,S1,81.96
UNIVERSITAS HASANUDDIN,UNHAS,PEMANFAATAN SUMBERDAYA PERIKANAN,S1,81.4
UNIVERSITAS HASANUDDIN,UNHAS,TEKNOLOGI HASIL PERIKANAN,S1,81.31
UNIVERSITAS HASANUDDIN,UNHAS,SASTRA PERANCIS,S1,81.09
UNIVERSITAS HASANUDDIN,UNHAS,SASTRA DAERAH,S1,81.0
UNIVERSITAS INDONESIA,UI,ADMINISTRASI PERPAJAKAN,D3,88.0
UNIVERSITAS INDONESIA,UI,HUBUNGAN MASYARAKAT,D3,87.81
UNIVERSITAS INDONESIA,UI,ADMINISTRASI KEUANGAN DAN PERBANKAN,D3,87.75
UNIVERSITAS INDONESIA,UI,AKUNTANSI,D3,87.75
UNIVERSITAS INDONESIA,UI,PERIKLANAN KREATIF,D3,87.45
UNIVERSITAS INDONESIA,UI,ADMINISTRASI PERKANTORAN,D3,87.37
UNIVERSITAS INDONESIA,UI,ADMINISTRASI RUMAH SAKIT,D3,87.12
UNIVERSITAS INDONESIA,UI,PENYIARAN MULTIMEDIA,D3,87.06
UNIVERSITAS INDONESIA,UI,ADMINISTRASI ASURANSI & AKTUARIA,D3,86.77
UNIVERSITAS INDONESIA,UI,PRODUKSI MEDIA,D4,90.3
UNIVERSITAS INDONESIA,UI,BISNIS KREATIF,D4,90.16
UNIVERSITAS INDONESIA,UI,MANAJEMEN BISNIS PARIWISATA,D4,89.64
UNIVERSITAS INDONESIA,UI,MANAJEMEN REKOD DAN ARSIP,D4,88.99
UNIVERSITAS INDONESIA,UI,TERAPI OKUPASI,D4,88.6
UNIVERSITAS INDONESIA,UI,FISIOTERAPI,D4,88.45
UNIVERSITAS INDONESIA,UI,PENDIDIKAN DOKTER,S1,94.98
UNIVERSITAS INDONESIA,UI,ILMU HUKUM,S1,92.97
UNIVERSITAS INDONESIA,UI,PENDIDIKAN DOKTER GIGI,S1,92.0
UNIVERSITAS INDONESIA,UI,MANAJEMEN,S1,91.87
UNIVERSITAS INDONESIA,UI,ILMU PSIKOLOGI,S1,90.71
UNIVERSITAS INDONESIA,UI,ILMU KOMPUTER,S1,90.7
UNIVERSITAS INDONESIA,UI,ILMU KOMUNIKASI,S1,90.64
UNIVERSITAS INDONESIA,UI,SISTEM INFORMASI,S1,90.6
UNIVERSITAS INDONESIA,UI,FARMASI,S1,90.56
UNIVERSITAS INDONESIA,UI,ILMU HUBUNGAN INTERNASIONAL,S1,90.55
UNIVERSITAS INDONESIA,UI,ILMU KEPERAWATAN,S1,90.52
UNIVERSITAS INDONESIA,UI,TEKNIK INDUSTRI,S1,90.52
UNIVERSITAS INDONESIA,UI,ILMU ADMINISTRASI NIAGA,S1,90.28
UNIVERSITAS INDONESIA,UI,KRIMINOLOGI,S1,90.23
UNIVERSITAS INDONESIA,UI,ILMU ADMINISTRASI NEGARA,S1,90.16
UNIVERSITAS INDONESIA,UI,TEKNIK KOMPUTER,S1,90.13
UNIVERSITAS INDONESIA,UI,ILMU KESEHATAN MASYARAKAT,S1,90.08
UNIVERSITAS INDONESIA,UI,TEKNIK SIPIL,S1,89.96
UNIVERSITAS INDONESIA,UI,ILMU ADMINISTRASI FISKAL,S1,89.81
UNIVERSITAS INDONESIA,UI,ARSITEKTUR,S1,89.7
UNIVERSITAS INDONESIA,UI,ILMU EKONOMI,S1,89.68
UNIVERSITAS INDONESIA,UI,TEKNIK MESIN,S1,89.64
UNIVERSITAS INDONESIA,UI,TEKNIK ELEKTRO,S1,89.58
UNIVERSITAS INDONESIA,UI,TEKNIK KIMIA,S1,89.56
UNIVERSITAS INDONESIA,UI,SASTRA INGGRIS,S1,89.3
UNIVERSITAS INDONESIA,UI,TEKNIK METALURGI & MATERIAL,S1,89.23
UNIVERSITAS INDONESIA,UI,AKTUARIA,S1,89.09
UNIVERSITAS INDONESIA,UI,GIZI,S1,89.0
UNIVERSITAS INDONESIA,UI,KESELAMATAN DAN KESEHATAN KERJA,S1,88.99
UNIVERSITAS INDONESIA,UI,TEKNOLOGI BIOPROSES,S1,88.88
UNIVERSITAS INDONESIA,UI,STATISTIKA,S1,88.77
UNIVERSITAS INDONESIA,UI,SASTRA JEPANG,S1,88.76
UNIVERSITAS INDONESIA,UI,ILMU KESEJAHTERAAN SOSIAL,S1,88.64
UNIVERSITAS INDONESIA,UI,TEKNIK LINGKUNGAN,S1,88.6
UNIVERSITAS INDONESIA,UI,SASTRA ARAB,S1,88.41
UNIVERSITAS INDONESIA,UI,BAHASA DAN KEBUDAYAAN KOREA,S1,88.32
UNIVERSITAS INDONESIA,UI,ILMU POLITIK,S1,88.32
UNIVERSITAS INDONESIA,UI,MATEMATIKA,S1,88.32
UNIVERSITAS INDONESIA,UI,KIMIA,S1,88.29
UNIVERSITAS INDONESIA,UI,ANTROPOLOGI SOSIAL,S1,88.28
UNIVERSITAS INDONESIA,UI,ARSITEKTUR INTERIOR,S1,88.2
UNIVERSITAS INDONESIA,UI,BISNIS ISLAM,S1,88.13
UNIVERSITAS INDONESIA,UI,TEKNIK PERKAPALAN,S1,88.02
UNIVERSITAS INDONESIA,UI,TEKNIK BIOMEDIS,S1,87.97
UNIVERSITAS INDONESIA,UI,ILMU EKONOMI ISLAM,S1,87.47
UNIVERSITAS INDONESIA,UI,ILMU PERPUSTAKAAN,S1,87.46
UNIVERSITAS INDONESIA,UI,SASTRA CINA,S1,87.41
UNIVERSITAS INDONESIA,UI,KESEHATAN LINGKUNGAN,S1,87.38
UNIVERSITAS INDONESIA,UI,SOSIOLOGI,S1,87.27
UNIVERSITAS INDONESIA,UI,GEOGRAFI,S1,87.21
UNIVERSITAS INDONESIA,UI,SASTRA INDONESIA,S1,87.21
UNIVERSITAS INDONESIA,UI,GEOLOGI,S1,87.17
UNIVERSITAS INDONESIA,UI,BIOLOGI,S1,87.14
UNIVERSITAS INDONESIA,UI,ARKEOLOGI INDONESIA,S1,87.04
UNIVERSITAS INDONESIA,UI,ILMU FILSAFAT,S1,86.88
UNIVERSITAS INDONESIA,UI,ILMU SEJARAH,S1,86.77
UNIVERSITAS INDONESIA,UI,SASTRA JERMAN,S1,86.77
UNIVERSITAS INDONESIA,UI,FISIKA,S1,86.74
UNIVERSITAS INDONESIA,UI,GEOFISIKA,S1,86.74
UNIVERSITAS INDONESIA,UI,SASTRA BELANDA,S1,86.69
UNIVERSITAS INDONESIA,UI,SASTRA PERANCIS,S1,86.68
UNIVERSITAS INDONESIA,UI,SASTRA RUSIA,S1,86.2
UNIVERSITAS INDONESIA,UI,SASTRA DAERAH UNTUK SASTRA JAWA,S1,86.02
UNIVERSITAS JAMBI,UNJA,PERPAJAKAN,D3,83.36
UNIVERSITAS JAMBI,UNJA,MANAJEMEN PEMASARAN,D3,82.59
UNIVERSITAS JAMBI,UNJA,KESEHATAN HEWAN,D3,81.44
UNIVERSITAS JAMBI,UNJA,AKUNTANSI,D3,81.31
UNIVERSITAS JAMBI,UNJA,KIMIA INDUSTRI,D3,81.31
UNIVERSITAS JAMBI,UNJA,ANALIS KIMIA,D3,81.08
UNIVERSITAS JAMBI,UNJA,AGROBISNIS,D3,81.01
UNIVERSITAS JAMBI,UNJA,TEKNOLOGI HASIL PERIKANAN,D3,80.72
UNIVERSITAS JAMBI,UNJA,MANAJEMEN PEMERINTAHAN,D4,82.12
UNIVERSITAS JAMBI,UNJA,KEUANGAN DAERAH,D4,81.61
UNIVERSITAS JAMBI,UNJA,KEDOKTERAN,S1,92.39
UNIVERSITAS JAMBI,UNJA,INFORMATIKA,S1,90.95
UNIVERSITAS JAMBI,UNJA,MANAJEMEN,S1,89.98
UNIVERSITAS JAMBI,UNJA,ILMU HUKUM,S1,89.57
UNIVERSITAS JAMBI,UNJA,SISTEM INFORMASI,S1,89.19
UNIVERSITAS JAMBI,UNJA,FARMASI,S1,89.17
UNIVERSITAS JAMBI,UNJA,ILMU KESEHATAN MASYARAKAT,S1,88.94
UNIVERSITAS JAMBI,UNJA,TEKNIK PERTAMBANGAN,S1,88.82
UNIVERSITAS JAMBI,UNJA,PSIKOLOGI,S1,88.76
UNIVERSITAS JAMBI,UNJA,ILMU KEPERAWATAN,S1,88.62
UNIVERSITAS JAMBI,UNJA,"PEND. BAHASA, SASTRA INDONESIA & DAERAH",S1,88.46
UNIVERSITAS JAMBI,UNJA,BIMBINGAN DAN KONSELING,S1,88.09
UNIVERSITAS JAMBI,UNJA,AGRIBISNIS,S1,87.78
UNIVERSITAS JAMBI,UNJA,ILMU EKONOMI PEMBANGUNAN,S1,87.39
UNIVERSITAS JAMBI,UNJA,PEND. BAHASA INGGRIS,S1,87.39
UNIVERSITAS JAMBI,UNJA,ILMU PEMERINTAHAN,S1,87.27
UNIVERSITAS JAMBI,UNJA,TEKNIK SIPIL,S1,87.21
UNIVERSITAS JAMBI,UNJA,PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN,S1,87.16
UNIVERSITAS JAMBI,UNJA,AGROEKOTEKNOLOGI,S1,87.06
UNIVERSITAS JAMBI,UNJA,PEND. GURU SEKOLAH DASAR,S1,87.0
UNIVERSITAS JAMBI,UNJA,PEND. OLAHRAGA & KESEHATAN,S1,86.94
UNIVERSITAS JAMBI,UNJA,PEND. MATEMATIKA,S1,86.88
UNIVERSITAS JAMBI,UNJA,BISNIS DIGITAL,S1,86.66
UNIVERSITAS JAMBI,UNJA,PEND. BIOLOGI,S1,86.58
UNIVERSITAS JAMBI,UNJA,PENDIDIKAN GURU PAUD,S1,86.49
UNIVERSITAS JAMBI,UNJA,PENDIDIKAN SEJARAH,S1,86.42
UNIVERSITAS JAMBI,UNJA,PEND. EKONOMI,S1,86.24
UNIVERSITAS JAMBI,UNJA,KEHUTANAN,S1,85.93
UNIVERSITAS JAMBI,UNJA,ADMINISTRASI PENDIDIKAN,S1,85.91
UNIVERSITAS JAMBI,UNJA,TEKNIK PERTANIAN,S1,85.9
UNIVERSITAS JAMBI,UNJA,EKONOMI ISLAM,S1,85.88
UNIVERSITAS JAMBI,UNJA,PETERNAKAN,S1,85.3
UNIVERSITAS JAMBI,UNJA,TEKNIK GEOLOGI,S1,85.1
UNIVERSITAS JAMBI,UNJA,TEKNIK LINGKUNGAN,S1,85.06
UNIVERSITAS JAMBI,UNJA,KEWIRAUSAHAAN,S1,84.84
UNIVERSITAS JAMBI,UNJA,TEKNIK ELEKTRO,S1,84.72
UNIVERSITAS JAMBI,UNJA,ILMU POLITIK,S1,84.71
UNIVERSITAS JAMBI,UNJA,TEKNIK KIMIA,S1,84.34
UNIVERSITAS JAMBI,UNJA,TEKNOLOGI HASIL PERTANIAN,S1,84.24
UNIVERSITAS JAMBI,UNJA,SASTRA INDONESIA,S1,84.02
UNIVERSITAS JAMBI,UNJA,PENDIDIKAN KEPELATIHAN OLAHRAGA,S1,83.93
UNIVERSITAS JAMBI,UNJA,ILMU SEJARAH,S1,83.8
UNIVERSITAS JAMBI,UNJA,MATEMATIKA,S1,83.55
UNIVERSITAS JAMBI,UNJA,PEND. KIMIA,S1,83.52
UNIVERSITAS JAMBI,UNJA,BIOLOGI,S1,83.26
UNIVERSITAS JAMBI,UNJA,PEND. FISIKA,S1,83.14
UNIVERSITAS JAMBI,UNJA,PENDIDIKAN BAHASA ARAB,S1,83.02
UNIVERSITAS JAMBI,UNJA,TEKNOLOGI INDUSTRI PERTANIAN,S1,82.96
UNIVERSITAS JAMBI,UNJA,KIMIA,S1,82.8
UNIVERSITAS JAMBI,UNJA,ARKEOLOGI,S1,82.61
UNIVERSITAS JAMBI,UNJA,SENI DRAMA TARI DAN MUSIK,S1,82.52
UNIVERSITAS JAMBI,UNJA,TEKNIK GEOFISIKA,S1,82.01
UNIVERSITAS JAMBI,UNJA,PEMANFAATAN SUMBERDAYA PERIKANAN,S1,81.81
UNIVERSITAS JAMBI,UNJA,FISIKA,S1,81.38
UNIVERSITAS JAMBI,UNJA,SENI KARAWITAN,S1,80.47
UNIVERSITAS JEMBER,UNEJ,KEPERAWATAN,D3,88.74
UNIVERSITAS JEMBER,UNEJ,KEPERAWATAN (KAMPUS KOTA PASURUAN),D3,87.11
UNIVERSITAS JEMBER,UNEJ,PERPAJAKAN,D3,85.22
UNIVERSITAS JEMBER,UNEJ,MANAJEMEN PERUSAHAAN,D3,84.61
UNIVERSITAS JEMBER,UNEJ,AKUNTANSI,D3,84.48
UNIVERSITAS JEMBER,UNEJ,ADMINISTRASI KEUANGAN,D3,83.89
UNIVERSITAS JEMBER,UNEJ,USAHA PERJALANAN WISATA,D3,83.68
UNIVERSITAS JEMBER,UNEJ,KESEKRETARIATAN,D3,83.4
