nama,jurusan_sma,nilai_sem1,nilai_sem2,nilai_sem3,nilai_sem4,nilai_sem5,rata_rata,nama_sekolah,ranking,akreditasi,indeks_sekolah,kuota_eligible,provinsi,nilai_berbobot,target_ptn,target_prodi,target_jenjang,passing_grade,daya_tampung_2026,peminat_2025,rasio_keketatan,target_lulus_snbp
Siswa_102,IPS,82.3,86.6,83.3,84.7,84.8,84.34,SMAN 1 WONOGIRI,364,B,94.55,0.25,JAWA TENGAH,79.74,UNIVERSITAS NEGERI MAKASSAR,ANIMASI,Sarjana Terapan,83.32,11,18.0,0.6111,0
Siswa_103,IPA,82.6,81.1,80.9,78.2,77.2,80.0,SMA SYUBBANUL WATHON,382,B,94.28,0.25,JAWA TENGAH,75.42,UNIVERSITAS RIAU,PENDIDIKAN KEPELATIHAN OLAHRAGA,Sarjana,86.22,24,206.0,0.1165,0
Siswa_104,IPA,90.2,90.0,92.0,91.2,90.7,90.82,SMKN 26 JAKARTA,532,C,92.03,0.05,DKI JAKARTA,83.58,UNIVERSITAS PATTIMURA,TEKNIK GEOLOGI,Sarjana,85.28,15,90.0,0.1667,0
Siswa_105,IPS,88.4,89.4,84.9,85.7,85.1,86.7,SMAS TERPADU BINA UMAT,956,C,85.66,0.05,DI YOGYAKARTA,74.27,UNIVERSITAS PENDIDIKAN INDONESIA,PENDIDIKAN BIOLOGI,Sarjana,86.2,23,472.0,0.0487,0
Siswa_106,IPA,94.2,95.8,95.8,97.9,98.8,96.5,SMAN 2 KOTA TANGERANG SELATAN,152,B,97.73,0.25,BANTEN,94.31,UNIVERSITAS NEGERI PADANG,AGRIBISNIS (KAMPUS KABUPATEN SIJUNJUNG),Sarjana,85.11,30,132.0,0.2273,1
Siswa_107,IPA,87.9,87.3,87.2,83.9,84.7,86.2,SMAN 3 MEDAN,562,C,91.58,0.05,SUMATERA UTARA,78.94,UNIVERSITAS ANDALAS,MANAJEMEN (KAMPUS 2 PAYAKUMBUH),Sarjana,85.5,40,169.0,0.2367,0
Siswa_108,IPS,83.2,85.1,88.8,89.5,90.7,87.46,SMAN 24 JAKARTA,689,C,89.67,0.05,DKI JAKARTA,78.43,UNIVERSITAS GADJAH MADA,AGRONOMI,Sarjana,87.13,24,148.0,0.1622,0
Siswa_109,IPA,88.0,88.0,88.2,89.5,90.0,88.74,SMAN 1 UNGGULAN MUARA ENIM,947,C,85.8,0.05,SUMATERA SELATAN,76.14,UIN PROFESOR KIAI HAJI SAIFUDDIN ZUHRI PURWOKERTO,ARSITEKTUR,Sarjana,86.07,38,55.0,0.6909,0
Siswa_110,IPA,90.5,91.5,93.3,96.0,96.9,93.64,SMAN 93 JAKARTA,608,C,90.89,0.05,DKI JAKARTA,85.11,UNIVERSITAS HALUOLEO,STATISTIKA,Sarjana,80.94,29,107.0,0.271,1
Siswa_111,IPA,89.1,91.2,92.5,94.9,94.3,92.4,MAN 2 KOTA MADIUN,617,C,90.75,0.05,JAWA TIMUR,83.85,UNIVERSITAS NEGERI SURABAYA,TATA BUSANA,Sarjana Terapan,84.26,55,224.0,0.2455,1
Siswa_112,IPA,87.5,88.5,85.3,87.5,87.5,87.26,SMAS BPI 1 BANDUNG,420,C,93.71,0.05,JAWA BARAT,81.77,UNIVERSITAS NUSA CENDANA,PEND. GEOGRAFI,Sarjana,87.57,42,210.0,0.2,0
Siswa_113,IPS,90.3,90.5,93.0,92.4,92.8,91.8,SMAS LABSCHOOL CIBUBUR,250,B,96.26,0.25,JAWA BARAT,88.37,INSTITUT PERTANIAN BOGOR,MANAJEMEN SUMBERDAYA PERAIRAN,Sarjana,86.11,40,264.0,0.1515,1
Siswa_114,IPS,90.8,91.6,93.1,90.2,92.1,91.56,SMAN 54 JAKARTA,117,B,98.26,0.25,DKI JAKARTA,89.97,POLITEKNIK NEGERI LHOKSEUMAWE,AKUNTANSI LEMBAGA KEUANGAN SYARIAH,Sarjana Terapan,86.07,45,105.0,0.4286,0
Siswa_115,IPS,91.9,92.7,94.8,95.0,95.4,93.96,SMAN 1 BADEGAN,866,C,87.01,0.05,JAWA TIMUR,81.75,UNIVERSITAS SULTAN AGENG TIRTAYASA,PENDIDIKAN BIOLOGI,Sarjana,87.41,50,337.0,0.1484,0
Siswa_116,IPS,88.2,88.5,97.4,100.0,100.0,94.82,SMK NEGERI 1 CIMAHI,512,C,92.33,0.05,JAWA BARAT,87.55,UNIVERSITAS HASANUDDIN,GEOFISIKA,Sarjana,83.14,40,165.0,0.2424,1
Siswa_117,IPS,84.2,84.6,81.5,85.3,85.5,84.22,SMKN 2 BUDURAN,740,C,88.9,0.05,JAWA TIMUR,74.87,UNIVERSITAS BRAWIJAYA,ILMU KELAUTAN,Sarjana,86.19,36,198.0,0.1818,0
Siswa_118,IPA,85.7,89.9,94.4,96.8,97.7,92.9,SMAN 5 JAKARTA,578,C,91.34,0.05,DKI JAKARTA,84.85,UNIVERSITAS TRUNOJOYO MADURA,PGSD,Sarjana,87.48,125,649.0,0.1926,0
Siswa_119,IPS,91.0,93.2,93.6,95.4,97.0,94.04,SMAN 1 SURABAYA,335,B,94.98,0.25,JAWA TIMUR,89.32,UNIVERSITAS PENDIDIKAN GANESHA,KEBIDANAN,Sarjana,84.52,11,99.0,0.1111,1
Siswa_120,IPA,80.9,81.3,82.9,84.7,85.9,83.14,MAN 7 JAKARTA,418,C,93.74,0.05,DKI JAKARTA,77.94,UNIVERSITAS NEGERI MALANG,SAINS AKTUARIA,Sarjana,89.14,42,111.0,0.3784,0
Siswa_121,IPS,86.8,89.2,90.1,90.0,91.2,89.46,SMAN 1 PLEMAHAN,932,C,86.02,0.05,JAWA TIMUR,76.95,UNIVERSITAS TANJUNGPURA,PERPUSTAKAAN,Diploma Tiga,81.23,10,30.0,0.3333,1
Siswa_122,IPS,83.0,83.4,83.5,84.3,83.8,83.6,SMAS GLOBAL ISLAMIC SCHOOL,774,C,88.39,0.05,DKI JAKARTA,73.89,UNIVERSITAS RIAU,KIMIA,Sarjana,87.69,36,265.0,0.1358,0
Siswa_123,IPA,85.1,88.5,88.4,92.7,95.1,89.96,SMA SEDES SAPIENTIAE,295,B,95.59,0.25,JAWA TENGAH,85.99,UNIVERSITAS TANJUNGPURA,TEKNIK MESIN,Sarjana,86.11,18,129.0,0.1395,0
Siswa_124,IPA,91.4,93.1,94.8,93.9,93.2,93.28,SMAN 45 JAKARTA,938,C,85.93,0.05,DKI JAKARTA,80.16,UNIVERSITAS NUSA CENDANA,BIMBINGAN KONSELING,Sarjana,87.87,27,552.0,0.0489,0
Siswa_125,IPA,86.0,86.7,84.7,88.9,89.9,87.24,SMAN 21 SURABAYA,755,C,88.68,0.05,JAWA TIMUR,77.36,UNIVERSITAS NEGERI MALANG,PSIKOLOGI,Sarjana,89.87,100,1426.0,0.0701,0
Siswa_126,IPA,85.2,87.1,89.6,90.0,92.6,88.9,SMAS METHODIST 2 MEDAN,371,B,94.44,0.25,SUMATERA UTARA,83.96,UNIVERSITAS INDONESIA,PERIKLANAN KREATIF,Diploma Tiga,87.45,20,324.0,0.0617,0
Siswa_127,IPS,78.2,76.1,76.2,79.9,79.4,77.96,SMAS AL - AZHAR MANDIRI PALU,186,B,97.22,0.25,SULAWESI TENGAH,75.79,UNIVERSITAS SULAWESI BARAT,TEKNIK SIPIL,Sarjana,85.69,54,135.0,0.4,0
Siswa_128,IPS,88.7,87.5,86.2,84.4,83.2,86.0,SMAN 52 JAKARTA,246,B,96.32,0.25,DKI JAKARTA,82.84,UNIVERSITAS TANJUNGPURA,PEND. GURU SEKOLAH DASAR (PGSD),Sarjana,89.74,40,1478.0,0.0271,0
Siswa_129,IPA,88.2,86.8,86.9,89.1,89.3,88.06,SMAN 1 BANJARBARU,637,C,90.45,0.05,KALIMANTAN SELATAN,79.65,POLITEKNIK NEGERI MEDAN,MANAJEMEN REKAYASA KONSTRUKSI GEDUNG,Sarjana Terapan,86.07,42,112.0,0.375,0
Siswa_130,IPA,95.8,97.1,100.0,99.5,99.7,98.42,SMAN 2 LINTONGNIHUTA,268,B,95.99,0.25,SUMATERA UTARA,94.47,UNIVERSITAS NEGERI SEMARANG,TEKNIK KIMIA,Sarjana,86.76,33,375.0,0.088,1
Siswa_131,IPA,83.5,87.9,87.9,86.0,85.2,86.1,SMAN 1 SIMO,643,C,90.36,0.05,JAWA TENGAH,77.8,UNIVERSITAS MUSAMUS MERAUKE,PENDIDIKAN GURU SEKOLAH DASAR,Sarjana,84.85,35,37.0,0.9459,0
Siswa_132,IPA,86.1,91.6,93.3,94.7,96.2,92.38,SMAN 1 TEGAL,237,B,96.46,0.25,JAWA TENGAH,89.11,"UPN ""VETERAN"" JAKARTA",KEPERAWATAN,Sarjana,86.07,28,1098.0,0.0255,1
Siswa_133,IPA,86.2,88.5,88.1,91.1,91.1,89.0,SMAN 1 SEYEGAN,530,C,92.06,0.05,DI YOGYAKARTA,81.93,UNIVERSITAS BENGKULU,SAINS PERIKANAN,Sarjana,86.07,12,174.5,0.2013,1
Siswa_134,IPA,92.9,94.9,97.4,96.7,97.7,95.92,SMA IT PUTRI AL HANIF,552,C,91.73,0.05,BANTEN,87.99,UNIVERSITAS BRAWIJAYA,ILMU HUKUM,Sarjana,90.88,133,1255.0,0.106,1
Siswa_135,IPS,84.5,81.9,84.3,82.3,81.2,82.84,SMAN 6 YOGYAKARTA,21,A,99.7,0.4,DI YOGYAKARTA,82.59,INSTITUT PERTANIAN BOGOR,BIOLOGI,Sarjana,88.34,44,421.0,0.1045,0
Siswa_136,IPA,86.4,86.3,91.0,91.8,93.9,89.88,SMAN 1 GRABAG,911,C,86.34,0.05,JAWA TENGAH,77.6,UNIVERSITAS NEGERI JAKARTA,MATEMATIKA,Sarjana,85.64,20,222.0,0.0901,0
Siswa_137,IPA,88.0,87.5,88.1,88.9,88.4,88.18,SMAN 1 KUTA UTARA,737,C,88.95,0.05,BALI,78.44,UNIVERSITAS GADJAH MADA,BISNIS PERJALANAN WISATA,Sarjana Terapan,88.82,27,193.0,0.1399,0
Siswa_138,IPS,85.9,85.7,88.0,90.1,90.5,88.04,SMKN 1 BAWANG,867,C,87.0,0.05,JAWA TENGAH,76.59,UNIVERSITAS INDONESIA,SASTRA JEPANG,Sarjana,88.76,16,357.0,0.0448,0
Siswa_139,IPA,82.8,83.4,84.6,87.5,88.9,85.44,SMAN 2 TANJUNGPINANG,794,C,88.09,0.05,KEPULAUAN RIAU,75.26,UNIVERSITAS SUMATERA UTARA,SASTRA DAERAH UNTUK SASTRA MELAYU,Sarjana,83.27,38,6.0,6.3333,0
Siswa_140,IPS,86.0,86.0,89.6,90.5,90.3,88.48,SMAN 11 SURABAYA,520,C,92.21,0.05,JAWA TIMUR,81.59,UNIVERSITAS NEGERI SEMARANG,PENDIDIKAN JASMANI SEKOLAH DASAR,Sarjana,84.78,20,238.0,0.084,0
Siswa_141,IPS,90.4,87.4,87.0,91.7,92.1,89.72,SMAN 66 JAKARTA,100,A,98.51,0.4,DKI JAKARTA,88.38,UIN SUNAN GUNUNG DJATI,TEKNIK ELEKTRO,Sarjana,86.07,27,215.0,0.1256,1
Siswa_142,IPA,79.9,82.4,84.9,86.3,88.4,84.38,SMA N 1 PASAMAN,752,C,88.72,0.05,SUMATERA BARAT,74.86,"UPN ""VETERAN"" YOGYAKARTA",TEKNIK GEOMATIKA,Sarjana,86.07,25,205.0,0.122,0
Siswa_143,IPA,85.7,84.5,85.1,85.4,84.1,84.96,SMAS AVICENA CINERE,478,C,92.84,0.05,JAWA BARAT,78.88,UIN SUNAN KALIJAGA,ILMU KESEJAHTERAAN SOSIAL (IKS),Sarjana,86.07,37,134.0,0.2761,0
Siswa_144,IPA,81.5,83.0,83.8,81.6,81.8,82.34,SMA NEGERI 1 JOMBANG,599,C,91.02,0.05,JAWA TIMUR,74.95,UNIVERSITAS NEGERI SURABAYA,PENDIDIKAN KEPELATIHAN OLAHRAGA,Sarjana,86.76,115,565.0,0.2035,0
Siswa_145,IPA,91.0,96.1,97.3,97.8,99.1,96.26,SMAN 2 BANDUNG,298,B,95.54,0.25,JAWA BARAT,91.97,UNIVERSITAS JEMBER,PENYULUHAN PERTANIAN,Sarjana,84.41,25,90.0,0.2778,1
Siswa_146,IPA,77.4,76.5,78.0,78.4,79.2,77.9,SMKN 1 BALIKPAPAN,940,C,85.9,0.05,KALIMANTAN TIMUR,66.92,POLITEKNIK NEGERI INDRAMAYU,TEKNOLOGI REKAYASA KOMPUTER,Sarjana Terapan,86.07,15,174.5,0.2013,0
Siswa_147,IPS,82.2,78.1,78.9,81.8,80.7,80.34,SMAN 1 KRIAN,526,C,92.12,0.05,JAWA TIMUR,74.01,UNIVERSITAS NEGERI JAKARTA,PENDIDIKAN AGAMA ISLAM,Sarjana,88.95,30,619.0,0.0485,0
Siswa_148,IPA,86.9,87.3,88.7,90.7,90.3,88.78,SMAN 1 GRESIK,334,B,95.0,0.25,JAWA TIMUR,84.34,UIN ALAUDDIN,TEKNIK ARSITEKTUR,Sarjana,86.07,45,90.0,0.5,0
Siswa_149,IPA,92.8,96.0,100.0,98.6,100.0,97.48,SMA KATOLIK ST.LOUIS 1,2,A,99.98,0.4,JAWA TIMUR,97.46,UNIVERSITAS AIRLANGGA,PSIKOLOGI,Sarjana,91.01,54,1066.0,0.0507,1
Siswa_150,IPA,84.7,89.6,92.6,93.9,95.7,91.3,SMAN 20 BANDUNG,375,B,94.38,0.25,JAWA BARAT,86.17,UNIVERSITAS HASANUDDIN,PEMULIAAN DAN BIOTEKNOLOGI TANAMAN,Sarjana,86.07,12,174.5,0.2013,0
Siswa_151,IPS,82.2,80.8,83.5,85.8,86.6,83.78,SMAN 1 CILEUNGSI,293,B,95.62,0.25,JAWA BARAT,80.11,UNIVERSITAS TANJUNGPURA,ILMU POLITIK,Sarjana,86.51,26,94.0,0.2766,0
Siswa_152,IPA,94.4,96.4,96.5,100.0,100.0,97.46,SMAN 1 SUBANG,837,C,87.45,0.05,JAWA BARAT,85.23,"UPN ""VETERAN"" JAWA TIMUR",TEKNIK SIPIL,Sarjana,86.07,60,578.0,0.1038,1
Siswa_153,IPA,77.8,77.8,77.1,79.8,79.6,78.42,SMK NEGERI 3 JOMBANG,934,C,85.99,0.05,JAWA TIMUR,67.43,UNIVERSITAS NEGERI MAKASSAR,PENDIDIKAN VOKASIONAL SENI KULINER,Sarjana,86.07,11,174.5,0.2013,0
Siswa_154,IPA,74.0,74.8,77.7,80.2,81.4,77.62,SMAN 1 PEMALANG,553,C,91.71,0.05,JAWA TENGAH,71.19,POLITEKNIK NEGERI SAMARINDA,TEKNIKA,Diploma Tiga,86.07,30,27.0,1.1111,0
Siswa_155,IPS,87.2,93.5,96.2,97.4,99.3,94.72,MAS MUALLIMAAT MUHAMMADIYAH,318,B,95.24,0.25,DI YOGYAKARTA,90.21,UNIVERSITAS HALUOLEO,ADMINISTRASI BISNIS,Sarjana,88.22,52,428.0,0.1215,1
Siswa_156,IPA,82.5,80.5,84.4,86.2,86.2,83.96,SMAN 1 CIAWI BOGOR,502,C,92.48,0.05,JAWA BARAT,77.65,POLITEKNIK NEGERI MALANG,AKUNTANSI MANAJEMEN,Sarjana Terapan,86.07,77,459.0,0.1678,0
Siswa_157,IPS,79.9,81.4,81.2,84.7,87.0,82.84,SMAN BALI MANDARA,828,C,87.58,0.05,BALI,72.55,UNIVERSITAS PENDIDIKAN GANESHA,PENDIDIKAN IPA,Sarjana,85.44,60,52.0,1.1538,0
Siswa_158,IPS,88.5,90.5,91.0,89.4,89.9,89.86,SMA NEGERI 1 AMBARAWA,381,B,94.29,0.25,JAWA TENGAH,84.73,POLITEKNIK NEGERI LHOKSEUMAWE,TEKNOLOGI REKAYASA JARINGAN TELEKOMUNIKASI,Sarjana Terapan,86.07,28,29.0,0.9655,0
Siswa_159,IPA,86.2,89.4,87.1,87.4,86.6,87.34,MAN 2 YOGYAKARTA,623,C,90.66,0.05,DI YOGYAKARTA,79.18,UNIVERSITAS MULAWARMAN,PENDIDIKAN EKONOMI,Sarjana,85.44,21,96.0,0.2188,0
Siswa_160,IPS,82.2,83.4,83.6,83.0,83.7,83.18,SMAN 28 JAKARTA,14,A,99.8,0.4,DKI JAKARTA,83.01,UNIVERSITAS TANJUNGPURA,AGRIBISNIS,Sarjana,87.79,30,319.0,0.094,0
Siswa_161,IPA,78.6,80.2,83.2,85.0,85.3,82.46,SMAN 1 GEGER,504,C,92.45,0.05,JAWA TIMUR,76.23,UNIVERSITAS SAMUDRA,PENDIDIKAN SEJARAH,Sarjana,85.67,32,142.0,0.2254,0
Siswa_162,IPS,89.4,89.6,89.6,93.1,94.3,91.2,SMA S XAVERIUS BANDAR LAMPUNG,231,B,96.55,0.25,LAMPUNG,88.05,UNIVERSITAS JAMBI,KIMIA,Sarjana,82.8,25,58.0,0.431,1
Siswa_163,IPS,88.3,89.8,92.1,91.9,93.4,91.1,SMAS MUHAMMADIYAH 2,985,C,85.23,0.05,JAWA TIMUR,77.64,UNIVERSITAS NEGERI MAKASSAR,PEND. GURU SEK. DASAR (KAMPUS PARE-PARE),Sarjana,88.31,47,236.0,0.1992,0
Siswa_164,IPA,84.5,84.8,85.4,81.7,80.6,83.4,SMAN 19 JAKARTA,84,A,98.75,0.4,DKI JAKARTA,82.36,POLITEKNIK NEGERI LAMPUNG,TEKNOLOGI REKAYASA ELEKTRONIKA,Sarjana Terapan,86.07,28,11.0,2.5455,0
Siswa_165,IPA,94.2,96.5,98.1,98.3,99.8,97.38,SMA TRENSAINS TEBUIRENG,130,B,98.06,0.25,JAWA TIMUR,95.49,UNIVERSITAS PENDIDIKAN GANESHA,PENDIDIKAN KESEJAHTERAAN KELUARGA,Sarjana,85.44,60,51.0,1.1765,1
Siswa_166,IPS,79.6,79.9,78.6,81.4,82.0,80.3,SMAS CAKRA BUANA,743,C,88.86,0.05,JAWA BARAT,71.35,UNIVERSITAS MUSAMUS MERAUKE,EKONOMI PEMBANGUNAN,Sarjana,84.23,16,11.0,1.4545,0
Siswa_167,IPA,77.4,79.1,80.3,82.4,83.9,80.62,SMAN 1 GIRI,838,C,87.43,0.05,JAWA TIMUR,70.49,UNIVERSITAS NEGERI MANADO,PEND. KES. KEL,Sarjana,86.07,12,6.0,2.0,0
Siswa_168,IPA,81.5,82.5,77.5,79.4,80.6,80.3,MAN 4 JAKARTA,145,B,97.84,0.25,DKI JAKARTA,78.57,POLITEKNIK NEGERI PONTIANAK,MANAJEMEN PERKEBUNAN,Sarjana Terapan,86.07,24,61.0,0.3934,1
Siswa_169,IPA,84.8,88.0,88.7,89.1,89.6,88.04,SMAN 2 MEDAN,891,C,86.64,0.05,SUMATERA UTARA,76.28,UNIVERSITAS BENGKULU,KIMIA,Sarjana,81.61,19,53.0,0.3585,1
Siswa_170,IPA,86.2,87.1,84.9,83.3,82.2,84.74,SMAS KOSGORO,857,C,87.15,0.05,JAWA BARAT,73.85,"UPN ""VETERAN"" JAKARTA",HUBUNGAN INTERNASIONAL,Sarjana,86.07,48,573.0,0.0838,0
Siswa_171,IPS,83.8,81.2,84.7,86.7,86.5,84.58,SMAS KOLESE LOYOLA,28,A,99.59,0.4,JAWA TENGAH,84.23,UNIVERSITAS NEGERI PADANG,TEKNOLOGI REKAYASA SISTEM ELEKTRONIKA,Sarjana Terapan,83.77,24,43.0,0.5581,0
Siswa_172,IPA,86.8,90.3,92.8,92.2,92.4,90.9,SMAN 3 BANDUNG,66,A,99.02,0.4,JAWA BARAT,90.01,UNIVERSITAS PENDIDIKAN GANESHA,ILMU HUKUM,Sarjana,88.5,156,288.0,0.5417,1
Siswa_173,IPA,78.7,77.9,79.9,85.2,86.2,81.58,SMAN 1 BOGOR,163,B,97.57,0.25,JAWA BARAT,79.6,UNIVERSITAS LAMPUNG,PERPAJAKAN,Diploma Tiga,83.52,25,120.0,0.2083,0
Siswa_174,IPA,92.2,91.9,96.0,98.1,99.4,95.52,SMAN 1 MADIUN,229,B,96.58,0.25,JAWA TIMUR,92.25,UNIVERSITAS JEMBER,BIOLOGI,Sarjana,86.67,42,197.0,0.2132,1
Siswa_175,IPS,84.6,84.4,83.5,83.3,83.3,83.82,SMA NEGERI 1 UNGARAN,261,B,96.1,0.25,JAWA TENGAH,80.55,UNIVERSITAS ANDALAS,TEKNOLOGI INDUSTRI PERTANIAN,Sarjana,85.83,40,230.0,0.1739,0
Siswa_176,IPA,90.6,94.3,98.8,98.6,100.0,96.46,MAN INSAN CENDEKIA TAPANULI SELATAN,449,C,93.27,0.05,SUMATERA UTARA,89.97,UIN SULTAN SYARIF KASIM,SISTEM INFORMASI,Sarjana,86.07,24,190.0,0.1263,0
Siswa_177,IPS,86.7,83.4,86.3,87.1,87.2,86.14,SMAN 1 DENPASAR,424,C,93.65,0.05,BALI,80.67,POLITEKNIK MANUFAKTUR BANDUNG,TEKNOLOGI PENGECORAN LOGAM,Diploma Tiga,86.07,25,131.0,0.1908,0
Siswa_178,IPA,87.3,94.6,95.1,95.6,98.1,94.14,SMAS IT IMAM SYAFII,460,C,93.11,0.05,KEPULAUAN RIAU,87.65,INSTITUT TEKNOLOGI BANDUNG,ARSITEKTUR,Sarjana,86.07,20,174.5,0.2013,0
Siswa_179,IPS,87.8,91.0,94.2,97.5,98.9,93.88,MAN 2 SAMARINDA,952,C,85.72,0.05,KALIMANTAN TIMUR,80.47,UNIVERSITAS TRUNOJOYO MADURA,TEKNOLOGI INDUSTRI PERTANIAN,Sarjana,81.08,100,112.0,0.8929,0
Siswa_180,IPA,87.2,88.7,87.5,88.8,91.2,88.68,SMAN 3 BLITAR,676,C,89.86,0.05,JAWA TIMUR,79.69,UNIVERSITAS SINGAPERBANGSA KARAWANG,AKUNTANSI,Sarjana,81.52,97,858.0,0.1131,1
Siswa_181,IPA,88.2,89.1,88.5,88.0,88.5,88.46,SMAN 12 BANDUNG,301,B,95.5,0.25,JAWA BARAT,84.48,UNIVERSITAS LAMPUNG,BIOLOGI TERAPAN,Sarjana,82.58,30,119.0,0.2521,1
Siswa_182,IPA,91.6,93.2,93.0,97.8,98.1,94.74,SMA Negeri 2 Tasikmalaya,919,C,86.22,0.05,JAWA BARAT,81.68,UNIVERSITAS SEBELAS MARET,INFORMATIKA (KAMPUS KABUPATEN KEBUMEN),Sarjana,89.92,15,78.0,0.1923,0
Siswa_183,IPS,86.0,88.0,88.0,89.1,88.8,87.98,SMAN 113 JAKARTA,303,B,95.47,0.25,DKI JAKARTA,83.99,"UPN ""VETERAN"" JAKARTA",EKONOMI SYARIAH,Sarjana,86.07,24,412.0,0.0583,0
Siswa_184,IPS,88.5,90.8,89.7,92.3,93.3,90.92,MAN INSAN CENDEKIA SAMBAS,287,B,95.71,0.25,KALIMANTAN BARAT,87.02,UNIVERSITAS MULAWARMAN,ILMU KOMUNIKASI,Sarjana,88.43,24,489.0,0.0491,0
Siswa_185,IPA,84.6,86.7,90.1,89.9,90.6,88.38,SMA NEGERI 2 BANGUNTAPAN,395,B,94.08,0.25,DI YOGYAKARTA,83.15,UNIVERSITAS NEGERI PADANG,TEKNIK PERTAMBANGAN (NK),Sarjana,89.19,22,886.0,0.0248,0
Siswa_186,IPS,92.2,93.4,93.9,95.6,96.7,94.36,SMAN 68 JAKARTA,10,A,99.86,0.4,DKI JAKARTA,94.23,UNIVERSITAS MULAWARMAN,ILMU KOMUNIKASI,Sarjana,88.43,24,489.0,0.0491,0
Siswa_187,IPS,81.6,82.2,83.9,85.6,86.6,83.98,SMKN 2 MAGELANG,707,C,89.4,0.05,JAWA TENGAH,75.08,UNIVERSITAS PENDIDIKAN INDONESIA,PENDIDIKAN GEOGRAFI,Sarjana,86.05,35,428.0,0.0818,0
Siswa_188,IPA,94.0,94.7,94.6,91.8,91.4,93.3,MAN 2 PONOROGO,630,C,90.56,0.05,JAWA TIMUR,84.49,UNIVERSITAS INDONESIA,SASTRA BELANDA,Sarjana,86.69,16,170.0,0.0941,0
Siswa_189,IPA,84.8,85.4,82.8,87.8,87.6,85.68,SMAN 85 JAKARTA,270,B,95.96,0.25,DKI JAKARTA,82.22,UNIVERSITAS NEGERI SEMARANG,DESAIN KOMUNIKASI VISUAL,Diploma Tiga,83.88,8,103.0,0.0777,0
Siswa_190,IPA,77.8,81.1,82.7,86.2,86.4,82.84,SMAN 1 MAGETAN,592,C,91.13,0.05,JAWA TIMUR,75.49,POLITEKNIK NEGERI BANDUNG,KEUANGAN DAN PERBANKAN,Diploma Tiga,86.07,16,231.0,0.0693,0
Siswa_191,IPA,85.6,87.8,85.0,85.2,84.8,85.68,SMKN 1 PEDAN,970,C,85.45,0.05,JAWA TENGAH,73.21,UNIVERSITAS NEGERI SURABAYA,PENDIDIKAN SEJARAH,Sarjana,86.01,75,286.0,0.2622,0
Siswa_192,IPS,81.6,76.7,77.6,76.4,76.2,77.7,SMA NEGERI 14,605,C,90.93,0.05,JAWA TENGAH,70.65,POLITEKNIK NEGERI SUBANG,TEKNOLOGI PRODUKSI TANAMAN PANGAN,Sarjana Terapan,86.07,32,101.0,0.3168,0
Siswa_193,IPS,89.2,91.5,89.8,91.5,92.1,90.82,SMAN 1 PAGAK,778,C,88.33,0.05,JAWA TIMUR,80.22,UNIVERSITAS PENDIDIKAN INDONESIA,PENDIDIKAN FISIKA,Sarjana,82.59,45,213.0,0.2113,1
Siswa_194,IPS,81.7,83.1,88.1,89.3,89.6,86.36,SMAS KRISTEN BARANA,844,C,87.34,0.05,SULAWESI SELATAN,75.43,UNIVERSITAS BENGKULU,PENDIDIKAN MATEMATIKA,Sarjana,86.19,20,200.0,0.1,0
Siswa_195,IPA,82.8,83.7,86.6,88.3,89.4,86.16,SMA PUTRA BANGSA,862,C,87.07,0.05,JAWA BARAT,75.02,"UPN ""VETERAN"" YOGYAKARTA",TEKNIK GEOLOGI,Sarjana,86.07,65,1234.0,0.0527,0
Siswa_196,IPA,75.6,75.8,77.0,78.4,79.2,77.2,SMAS K SANTO YOSEPH DENPASAR,361,B,94.59,0.25,BALI,73.02,UNIVERSITAS MARITIM RAJA ALI HAJI,PERENCANAAN WILAYAH DAN KOTA,Sarjana,86.07,25,174.5,0.2013,0
Siswa_197,IPS,82.7,86.0,89.5,91.5,92.3,88.4,SMAS PLUS PEMBANGUNAN JAYA,257,B,96.16,0.25,BANTEN,85.01,UNIVERSITAS DIPONEGORO,EKONOMI,Sarjana,89.2,60,770.0,0.0779,0
Siswa_198,IPS,72.9,75.8,75.1,79.0,80.1,76.58,SMAS AL IRSYAD AL ISLAMIYYAH,133,B,98.02,0.25,JAWA TENGAH,75.06,UNIVERSITAS JEMBER,PERPAJAKAN,Diploma Tiga,85.22,30,106.0,0.283,0
Siswa_199,IPS,77.1,76.5,78.6,80.8,81.5,78.9,SMAN 1 KEDUNGWARU,276,B,95.87,0.25,JAWA TIMUR,75.64,UNIVERSITAS BRAWIJAYA,TEKNOLOGI INFORMASI,Sarjana,85.43,40,462.0,0.0866,0
Siswa_200,IPS,88.8,90.6,92.0,90.9,90.3,90.52,SMA NEGERI 5 TARUNA BRAWIJAYA JAWA TIMUR,776,C,88.36,0.05,JAWA TIMUR,79.98,UNIVERSITAS SYIAH KUALA,MANAJEMEN PERUSAHAAN,Diploma Tiga,82.12,12,20.0,0.6,1
Siswa_201,IPS,88.9,88.0,89.5,93.2,94.2,90.76,SMAN 2 BANJARBARU,683,C,89.76,0.05,KALIMANTAN SELATAN,81.47,POLITEKNIK NEGERI UJUNG PANDANG,TEKNIK PEMBANGKIT ENERGI,Sarjana Terapan,86.07,23,34.0,0.6765,0
